age,total,celib,marrie,veuf,divorce
0,384347,384347,0,0,0
1,384661,384661,0,0,0
2,389099,389099,0,0,0
3,396217,396217,0,0,0
4,405870,405870,0,0,0
5,404293,404293,0,0,0
6,407479,407479,0,0,0
7,406397,406397,0,0,0
8,413093,413093,0,0,0
9,404611,404611,0,0,0
10,402865,402865,0,0,0
11,400854,400854,0,0,0
12,403044,403044,0,0,0
13,409609,409609,0,0,0
14,417959,417959,0,0,0
15,398367,398367,0,0,0
16,398083,398074,4,3,2
17,389285,388782,238,166,99
18,389254,388305,803,46,100
19,381941,379605,2151,78,107
20,368132,364187,3775,46,124
21,363260,355937,6767,227,329
22,379954,367715,11480,202,557
23,386226,363327,21595,214,1090
24,393217,360563,30787,228,1639
25,394402,348565,43120,248,2469
26,400261,337847,58651,269,3494
27,399293,318700,75485,368,4740
28,408062,306566,94567,458,6471
29,407644,287129,112055,604,7856
30,408562,268779,129003,745,10035
31,401956,246890,142629,761,11676
32,428699,248408,164369,993,14929
33,434873,232255,183470,1319,17829
34,439365,220223,196606,1394,21142
35,416026,196739,195075,1511,22701
36,407466,181536,199527,1663,24740
37,410014,172992,207563,1971,27488
38,401806,162945,207072,2162,29627
39,414164,160116,217750,2534,33764
40,434671,160876,232915,2804,38076
41,460796,162331,251082,3292,44091
42,471030,160005,257374,4085,49566
43,467746,149708,260328,4763,52947
44,459320,140731,257526,5294,55769
45,454127,132317,258679,6029,57102
46,453576,126765,259959,6774,60078
47,449092,119313,260560,7572,61647
48,460511,117024,268250,8586,66651
49,461377,111060,271235,10036,69046
50,469260,105767,278979,11791,72723
51,464423,99618,278498,12836,73471
52,448518,89467,272468,13963,72620
53,449187,83558,275605,16260,73764
54,446601,77019,276433,18703,74446
55,445229,72336,277694,20768,74431
56,435337,65620,274282,22829,72606
57,435522,61437,276315,25143,72627
58,432977,56816,275443,27928,72790
59,429738,53858,274018,30292,71570
60,428440,50049,274989,33152,70250
61,419739,47346,268355,35764,68274
62,426777,44952,272774,40446,68605
63,415173,40503,265022,44008,65640
64,431042,40193,274725,49472,66652
65,424551,36649,273255,52753,61894
66,420376,35880,265014,57787,61695
67,411745,33592,257026,62806,58321
68,392110,31258,241939,64903,54010
69,296599,23434,180066,53987,39112
70,290864,22062,174703,58170,35929
71,281850,20776,166501,61780,32793
72,260952,18682,150927,62353,28990
73,234298,16371,131417,63084,23426
74,245797,17319,133759,72459,22260
75,257301,17296,135342,82726,21937
76,253807,17281,129083,87716,19727
77,249532,16727,119974,94672,18159
78,249161,16454,113739,102080,16888
79,244822,16945,105041,107448,15388
80,246011,17398,98786,115043,14784
81,233025,16026,86683,117257,13059
82,235168,16246,80834,126005,12083
83,222034,14834,68816,128175,10209
84,214871,14606,59383,131303,9579
85,193000,13769,47492,123619,8120
86,179196,12560,38319,121478,6839
87,163425,11690,30123,115608,6004
88,149444,10984,23030,110203,5227
89,135229,10528,17981,102064,4656
90,135229,10528,17981,102064,4656
91,135229,10528,17981,102064,4656
92,135229,10528,17981,102064,4656
93,135229,10528,17981,102064,4656
94,135229,10528,17981,102064,4656
95,135229,10528,17981,102064,4656
96,135229,10528,17981,102064,4656
97,135229,10528,17981,102064,4656
98,135229,10528,17981,102064,4656
99,135229,10528,17981,102064,4656
100,135229,10528,17981,102064,4656
