age,total,celib,marrie,veuf,divorce
0,401382,401382,0,0,0
1,403797,403797,0,0,0
2,409038,409038,0,0,0
3,412492,412492,0,0,0
4,425656,425656,0,0,0
5,424982,424982,0,0,0
6,427585,427585,0,0,0
7,425320,425320,0,0,0
8,432861,432861,0,0,0
9,424564,424564,0,0,0
10,422098,422098,0,0,0
11,419969,419969,0,0,0
12,423111,423111,0,0,0
13,428714,428714,0,0,0
14,437807,437807,0,0,0
15,419741,419741,0,0,0
16,417517,417517,0,0,0
17,409300,409299,1,0,0
18,407676,407635,40,1,0
19,398281,398089,192,0,0
20,382022,379827,1656,239,300
21,374411,371414,2515,176,306
22,390185,385872,3763,142,408
23,389077,379695,8585,122,675
24,393194,379393,12749,119,933
25,388988,368239,19435,126,1188
26,390581,359629,29103,162,1687
27,390005,346830,40681,158,2336
28,393772,336120,54402,116,3134
29,393357,318935,70112,136,4174
30,390356,300510,84192,171,5483
31,387755,281697,99037,218,6803
32,413274,284110,120276,241,8647
33,416419,264290,140813,332,10984
34,424999,253629,157986,397,12987
35,402403,226843,160626,438,14496
36,395960,210072,169211,473,16204
37,403633,202071,182384,534,18644
38,394151,187563,185666,641,20281
39,405110,183578,197444,684,23404
40,430673,185692,216595,789,27597
41,454161,187564,233667,1046,31884
42,466495,186146,243347,1232,35770
43,462743,173810,248221,1474,39238
44,454234,163457,248438,1479,40860
45,445191,153876,246476,1839,43000
46,439905,145845,247320,2121,44619
47,436900,138565,249496,2257,46582
48,448137,136153,260079,2593,49312
49,449915,130625,264830,2975,51485
50,452596,125613,269900,3195,53888
51,447992,117146,272039,3659,55148
52,432011,107744,264569,3966,55732
53,429645,99961,268821,4498,56365
54,428330,93396,272533,5027,57374
55,423463,86285,274031,5567,57580
56,413704,78428,273052,6238,55986
57,410312,72909,274582,6602,56219
58,404929,67153,275266,7400,55110
59,397744,61937,274556,7834,53417
60,398353,57866,279571,8679,52237
61,387229,53026,274721,9225,50257
62,391839,49439,281670,10446,50284
63,380485,44038,277819,11125,47503
64,394984,42309,291834,12367,48474
65,384199,37198,292717,12377,41907
66,383653,36893,287713,14648,44399
67,373193,34542,281735,15681,41235
68,351572,30978,267231,15583,37780
69,263547,22580,200707,12830,27430
70,254417,21004,194842,13532,25039
71,245714,20067,188175,14212,23260
72,226252,18416,173025,14556,20255
73,198169,15549,152859,14187,15574
74,203302,16121,156354,15907,14920
75,207754,16114,159143,17704,14793
76,200605,15774,153518,18486,12827
77,190769,15103,144961,19244,11461
78,185637,14772,140315,20409,10141
79,174832,13912,131576,20570,8774
80,169758,12966,126681,22079,8032
81,154676,12163,114320,21672,6521
82,151037,11654,109765,23540,6078
83,137981,10609,97958,24611,4803
84,126889,9208,88840,24610,4231
85,108467,7625,74111,23578,3153
86,96164,6822,63980,22637,2725
87,82808,6043,53357,21472,1936
88,71165,5084,44241,20063,1777
89,59854,4095,35674,18901,1184
90,59854,4095,35674,18901,1184
91,59854,4095,35674,18901,1184
92,59854,4095,35674,18901,1184
93,59854,4095,35674,18901,1184
94,59854,4095,35674,18901,1184
95,59854,4095,35674,18901,1184
96,59854,4095,35674,18901,1184
97,59854,4095,35674,18901,1184
98,59854,4095,35674,18901,1184
99,59854,4095,35674,18901,1184
100,59854,4095,35674,18901,1184
