,activite,activite_conj,age,age_conj,emploi,emploi_conj,etudes,etudes_conj,handicap,handicap_conj,retraite,retraite_conj,salaire,salaire_conj,sexe,sexe_conj,statut_marital,statut_marital_conj,type_fam,enfant,nb_enf
0,True,True,29,28.0,True,True,False,False,False,False,0.0,0.0,20034.0,17737.0,femme,homme,1,1.0,Couples,False,0
1,True,True,28,29.0,True,True,False,False,False,False,0.0,0.0,17986.0,34172.0,femme,homme,1,1.0,Couples,True,1
2,False,False,30,29.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,femme,homme,1,1.0,Couples,True,2
3,True,True,32,30.0,True,True,False,False,False,False,0.0,0.0,5946.0,27663.0,femme,homme,1,1.0,Couples,True,1
4,True,False,32,31.0,True,False,False,False,False,False,0.0,0.0,5946.0,0.0,femme,homme,1,1.0,Couples,True,2
5,True,True,34,31.0,True,True,False,False,False,False,0.0,0.0,21165.0,21696.0,femme,homme,1,1.0,Couples,False,0
6,False,True,31,32.0,False,True,False,False,False,False,0.0,0.0,0.0,18549.0,femme,homme,1,1.0,Couples,True,3
7,True,False,28,32.0,True,False,False,False,False,False,0.0,0.0,17986.0,0.0,femme,homme,1,1.0,Couples,False,0
8,False,True,31,32.0,False,True,False,False,False,True,0.0,0.0,0.0,226331.0,femme,homme,1,1.0,Couples,True,3
9,True,True,34,32.0,True,True,False,False,False,False,0.0,0.0,21165.0,38423.0,femme,homme,1,1.0,Couples,True,2
10,False,True,31,33.0,False,True,False,False,False,False,0.0,0.0,0.0,18512.0,femme,homme,1,1.0,Couples,True,2
11,True,True,28,34.0,True,True,False,False,False,False,0.0,0.0,17986.0,24776.0,femme,homme,1,1.0,Couples,True,3
12,False,True,31,34.0,False,True,False,False,False,False,0.0,0.0,0.0,47253.0,femme,homme,1,1.0,Couples,True,2
13,True,True,29,34.0,True,True,False,False,False,False,0.0,0.0,20034.0,41885.0,femme,homme,1,1.0,Couples,True,2
14,False,True,31,35.0,False,True,False,False,False,False,0.0,0.0,0.0,50099.0,femme,homme,1,1.0,Couples,False,0
15,True,True,40,35.0,True,True,False,False,False,False,0.0,0.0,3681.0,21749.0,femme,homme,1,1.0,Couples,True,3
16,True,True,37,35.0,True,True,False,False,False,False,0.0,0.0,21445.0,55699.0,femme,homme,1,1.0,Couples,False,0
17,True,True,34,36.0,True,True,False,False,False,False,0.0,0.0,21165.0,24947.0,femme,homme,1,1.0,Couples,False,0
